"","Province_State","Country_Region","Last_Update","Confirmed","Deaths","Recovered","Lat","Long_","Active","Admin2","FIPS","Combined_Key","date"
"4604","Georgia","US","2020-03-10T03:53:03",17,0,0,33.0406,-83.6431,NA,NA,NA,NA,"03-10-2020"
"4608","Colorado","US","2020-03-10T18:33:03",15,0,0,39.0598,-105.3111,NA,NA,NA,NA,"03-10-2020"
"4800","Colorado","US","2020-03-11T22:53:03",34,0,0,39.0598,-105.3111,NA,NA,NA,NA,"03-11-2020"
"4806","Georgia","US","2020-03-11T18:52:03",23,0,0,33.0406,-83.6431,NA,NA,NA,NA,"03-11-2020"
"5014","Colorado","US","2020-03-12T21:39:10",45,0,0,39.0598,-105.3111,NA,NA,NA,NA,"03-12-2020"
"5021","Georgia","US","2020-03-12T21:39:10",31,1,0,33.0406,-83.6431,NA,NA,NA,NA,"03-12-2020"
"5330","Colorado","US","2020-03-11T20:00:00",49,0,0,39.059811,-105.311104,NA,NA,NA,NA,"03-13-2020"
"5335","Georgia","US","2020-03-11T20:00:00",42,1,0,33.040619,-83.643074,NA,NA,NA,NA,"03-13-2020"
"5453","Colorado","US","2020-03-14T22:13:32",101,1,0,39.0598,-105.3111,NA,NA,NA,NA,"03-14-2020"
"5467","Georgia","US","2020-03-14T17:53:03",66,1,0,33.0406,-83.6431,NA,NA,NA,NA,"03-14-2020"
"5707","Colorado","US","2020-03-14T22:13:32",131,1,0,39.0598,-105.3111,NA,NA,NA,NA,"03-15-2020"
"5708","Georgia","US","2020-03-15T18:20:19",99,1,0,33.0406,-83.6431,NA,NA,NA,NA,"03-15-2020"
"5949","Colorado","US","2020-03-16T23:53:03",160,1,0,39.0598,-105.3111,NA,NA,NA,NA,"03-16-2020"
"5967","Georgia","US","2020-03-16T16:53:06",121,1,0,33.0406,-83.6431,NA,NA,NA,NA,"03-16-2020"
"6233","Colorado","US","2020-03-17T22:53:03",160,2,0,39.0598,-105.3111,NA,NA,NA,NA,"03-17-2020"
"6236","Georgia","US","2020-03-17T20:13:22",146,1,0,33.0406,-83.6431,NA,NA,NA,NA,"03-17-2020"
"6504","Georgia","US","2020-03-18T19:14:34",199,3,0,33.0406,-83.6431,NA,NA,NA,NA,"03-18-2020"
"6507","Colorado","US","2020-03-18T15:53:09",184,2,0,39.0598,-105.3111,NA,NA,NA,NA,"03-18-2020"
"6780","Georgia","US","2020-03-19T21:13:35",287,10,0,33.0406,-83.6431,NA,NA,NA,NA,"03-19-2020"
"6784","Colorado","US","2020-03-19T23:43:04",277,4,0,39.0598,-105.3111,NA,NA,NA,NA,"03-19-2020"
"7065","Georgia","US","2020-03-20T19:13:30",420,13,0,33.0406,-83.6431,NA,NA,NA,NA,"03-20-2020"
