"Province_State","Country_Region","Last_Update","Confirmed","Deaths","Recovered","Lat","Long_","Active","Admin2","FIPS","Combined_Key","date"
"Georgia","US","3/22/20 23:45",111,2,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","03-22-2020"
"Georgia","US","3/22/20 23:45",67,2,0,33.94243204,-84.5761255,0,"Cobb",13067,"Cobb, Georgia, US","03-22-2020"
"Georgia","US","3/22/20 23:45",53,0,0,33.76944049,-84.22396017,0,"DeKalb",13089,"DeKalb, Georgia, US","03-22-2020"
"Georgia","US","3/22/20 23:45",27,1,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","03-22-2020"
"Georgia","US","3/22/20 23:45",18,0,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","03-22-2020"
"Georgia","US","2020-03-23 23:19:34",20,0,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","03-23-2020"
"Georgia","US","2020-03-23 23:19:34",79,2,0,33.94243204,-84.5761255,0,"Cobb",13067,"Cobb, Georgia, US","03-23-2020"
"Georgia","US","2020-03-23 23:19:34",75,0,0,33.76944049,-84.22396017,0,"DeKalb",13089,"DeKalb, Georgia, US","03-23-2020"
"Georgia","US","2020-03-23 23:19:34",145,2,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","03-23-2020"
"Georgia","US","2020-03-23 23:19:34",34,1,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","03-23-2020"
"Georgia","US","2020-03-24 23:37:31",28,0,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","03-24-2020"
"Georgia","US","2020-03-24 23:37:31",86,2,0,33.94243204,-84.5761255,0,"Cobb",13067,"Cobb, Georgia, US","03-24-2020"
"Georgia","US","2020-03-24 23:37:31",94,0,0,33.76944049,-84.22396017,0,"DeKalb",13089,"DeKalb, Georgia, US","03-24-2020"
"Georgia","US","2020-03-24 23:37:31",184,2,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","03-24-2020"
"Georgia","US","2020-03-24 23:37:31",45,1,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","03-24-2020"
"Georgia","US","2020-03-25 23:33:19",31,0,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","03-25-2020"
"Georgia","US","2020-03-25 23:33:19",101,2,0,33.94243204,-84.5761255,0,"Cobb",13067,"Cobb, Georgia, US","03-25-2020"
"Georgia","US","2020-03-25 23:33:19",116,0,0,33.76944049,-84.22396017,0,"DeKalb",13089,"DeKalb, Georgia, US","03-25-2020"
"Georgia","US","2020-03-25 23:33:19",198,2,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","03-25-2020"
"Georgia","US","2020-03-25 23:33:19",48,1,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","03-25-2020"
"Georgia","US","2020-03-26 23:48:35",38,0,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","03-26-2020"
"Georgia","US","2020-03-26 23:48:35",115,2,0,33.94243204,-84.5761255,0,"Cobb",13067,"Cobb, Georgia, US","03-26-2020"
"Georgia","US","2020-03-26 23:48:35",129,0,0,33.76944049,-84.22396017,0,"DeKalb",13089,"DeKalb, Georgia, US","03-26-2020"
"Georgia","US","2020-03-26 23:48:35",211,2,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","03-26-2020"
"Georgia","US","2020-03-26 23:48:35",75,1,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","03-26-2020"
"Georgia","US","2020-03-27 22:14:55",46,0,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","03-27-2020"
